fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Sep,16,KERALA,1609,IDUKKI,2425005,339.821202394245,26,73,592.815468558,4271,0,13014,1851273,168053,28510,305338,24630,662.42842,7546.262056758,70856,88909,132870,240909,144,212933,365157,17285,6291.0181682,1388564,30,51.35,21.87,100,NA
2024-2025,Sep,16,KERALA,1610,KOTTAYAM,1701899,337.906589746509,25,24,788.874961267,5215,0,11831,1080471,152789,20029,39970,4571,538.22924,4978.086910567,42598,45210,88312,133442,45,207554,290119,17046,3650.9827093,999708,57,28.71,47.67,100,NA
2024-2025,Sep,16,KERALA,1614,THIRUVANANTHAPURAM,5321616,340.483686461495,27,156,2502.064419978,9411,0,26281,3910365,687156,58955,144303,7987,962.53421,16778.753536078,144548,155273,229486,346099,87,392039,557445,35692,13314.1549061,3461842,54,53.46,33.72,100,NA
2024-2025,Aug,16,KERALA,1601,KASARGOD,1612426,347.882993268425,24,75,948.343048991,7279,0,13708,1264043,76736,9790,245495,24143,489.85,5835.583673591,51184,56437,105138,161400,19,169495,243575,20987,4397.3906246,1130510,52,41.67,38.77,99.98,NA
2024-2025,Aug,16,KERALA,1603,WAYANAD,1479793,359.827533369343,34,71,568.350957913999,2887,0,8810,1629190,71062,6875,740033,47656,435.72102,6866.346168814,47351,53716,85001,146202,178,156448,257403,11697,5862.2741909,1411118,42,31.17,17.88,100.01,NA
2024-2025,Aug,16,KERALA,1608,ERNAKULAM,1686605,339.223760814404,21,87,922.173991133999,8551,0,14972,1021901,201583,32565,21973,2875,711.38992,5100.094915134,48377,51327,108291,165597,9,271618,383063,23523,3466.531004,906502,54,29.37,38.51,99.99,NA
2024-2025,Aug,16,KERALA,1603,WAYANAD,1479793,360.211766609774,34,70,568.350957913999,2869,0,8746,1610633,70430,6875,731663,47640,435.72102,6805.76156081399,47246,53578,84980,146179,166,156460,257435,11615,5801.6895829,1395091,43,31.1,17.85,100,NA
2024-2025,Aug,16,KERALA,1604,KOZHIKODE,3665143,340.789809776691,16,162,1547.955279001,5267,0,20361,1712829,203859,38273,32935,4045,896.33729,8281.439259901,101127,108045,196137,310060,12,354854,525671,25628,5837.1466909,1561759,40,44.96,32.41,99.96,NA
2024-2025,Aug,16,KERALA,1606,PALAKKAD,2746181,362.255018011054,16,149,1093.198584217,6696,0,34958,1811110,572429,83789,219216,20784,376.56319,8030.598630917,107750,117128,205953,294296,18,406957,549185,41654,6560.8368567,1605530,64,29.09,35.96,99.96,NA
2024-2025,Aug,16,KERALA,1614,THIRUVANANTHAPURAM,4434681,338.211349340922,23,144,2024.02573816,8625,0,25846,3264868,570500,58851,127463,7980,962.53421,14028.71406516,139237,149279,228996,345358,47,391694,556904,34471,11042.154117,2886646,54,49.3,37,99.97,NA
2024-2025,Aug,16,KERALA,1602,KANNUR,2071296,344.132337829457,23,99,1417.774305127,4527,0,17107,1570538,70724,8664,136763,13582,772.96564,7595.469081027,65663,69746,127191,187399,31,262792,362564,21634,5404.7291359,1466083,51,45.26,32.44,100,NA
2024-2025,Aug,16,KERALA,1610,KOTTAYAM,1418250,338.159927434098,23,24,693.903206191,4738,0,11925,945761,133805,19995,35323,4569,463.34725,4355.435167491,40812,43267,88125,133166,31,207494,290156,16663,3198.1847113,874565,56,26.5,48.69,99.99,NA
2024-2025,Aug,16,KERALA,1614,THIRUVANANTHAPURAM,4434681,340.639560628407,23,145,2024.02573816,8638,0,26047,3324976,580222,58855,129248,7978,962.53421,14312.74358556,139873,149992,229007,345382,51,391732,556961,34685,11326.1836374,2940194,54,49.79,36.65,99.98,NA
2024-2025,Aug,16,KERALA,1603,WAYANAD,1479793,358.412834974701,33,70,568.350957913999,2771,0,8825,1597143,69976,6874,725355,47629,435.72102,6728.437482814,47165,53479,84956,146136,162,156450,257415,11596,5724.3655049,1383126,43,30.99,17.76,100.01,NA
2024-2025,Aug,16,KERALA,1614,THIRUVANANTHAPURAM,4434681,336.360931653461,23,142,2024.02573816,8610,0,25732,3198099,558344,58820,126120,7979,962.53421,13743.71553976,138391,148343,228845,345141,43,391645,556836,34342,10757.1555916,2826495,54,48.82,37.27,99.98,NA
2024-2025,Dec,16,KERALA,1604,KOZHIKODE,6197422,340.971964719688,49,190,5627.33079447201,13518,0,19666,6340080,758866,38737,105169,4087,975.21588,28220.442015272,126933,138479,199207,315124,2285,356865,528876,33184,21617.8953408,5792713,37,70.49,17.06,100.01,NA
2024-2025,Dec,16,KERALA,1612,PATHANAMTHITTA,1982827,341.221404996461,42,99,1289.892045629,5488,0,8252,1815485,508660,35180,38259,2181,486.46857,7971.184040129,42249,46678,67612,117211,582,163091,254063,13740,6194.8234245,1617172,43,63.27,20.53,100.01,NA
2024-2025,Dec,16,KERALA,1614,THIRUVANANTHAPURAM,7498642,341.994659704302,54,174,5042.515539024,21002,0,22616,8637679,1492663,59509,287861,8069,1026.43492,35609.3513614239,157991,171407,231999,350548,6023,395211,562876,43618,29540.4009023999,7690779,52,67.54,22.19,100.01,NA
2024-2025,Dec,16,KERALA,1602,KANNUR,3502371,343.297868048974,47,126,3672.917109321,10184,0,15908,3765973,156333,8784,332355,13782,797.97597,17399.398099621,79762,85742,131383,193527,2465,264801,365400,26092,12928.5050203,3524202,47,59.62,25.63,100.2,NA
2024-2025,Dec,16,KERALA,1604,KOZHIKODE,6197422,341.44469813086,49,190,5625.26778207201,13500,0,19614,6259136,749243,38729,103623,4085,975.21588,27971.971682872,126678,138175,199110,314977,2132,356838,528833,33114,21371.4880208,5718084,37,70.24,17.21,99.99,NA
